id;degree_name;institute;year_of_passing
1;neural platforms;Steel morph;31235
2;Communications New Jersey;blue repurpose open-source;11710
3;Devolved;digital Spain;23586
4;Incredible;Cambridgeshire synthesize Refined Frozen Chicken;19096
5;Frozen hub;plum Island engage;26563
6;copy FTP withdrawal;Andorra;31323
7;programming Plaza Vermont;seize navigate;49122
8;Security customer loyalty;violet Distributed SDD;38466
9;back-end deposit Massachusetts;Movies;52311
10;Money Market Account Borders;cyan calculate;48981
